episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
223,4,360,-195.9895,16.77,1.88,716,0.12901,0.1,16.6,1,"EXT_E_N06_in,SRC_THD_N08,SRC_HTM_E_N02",3,0,6.78e-05
224,1,360,-554.0154,8.92,5.43,3689,0.129062,0.775,118.7,0,,0,0,6.74e-05
225,3,360,-490.6438,12.22,3.69,3701,0.149487,0.325,116.9,0,,0,0,6.71e-05
226,2,360,-502.5408,10.63,4.26,3681,0.198148,0.55,118.8,0,,0,0,6.68e-05
227,0,360,-481.6461,14.03,4.96,3970,0.191623,1.0,106.2,0,,0,0,6.64e-05
228,4,360,-618.1018,9.27,3.42,3379,0.095368,0.1,128.2,0,,0,0,6.61e-05
229,1,360,-470.5626,11.34,3.41,3816,0.138006,0.775,117.3,0,,0,0,6.58e-05
230,3,360,-501.3109,10.32,3.56,3478,0.230617,0.325,118.8,0,,0,0,6.55e-05
231,2,360,-551.8962,10.67,2.8,3695,0.094141,0.55,112.9,0,,0,0,6.51e-05
232,0,360,-442.1263,15.97,3.67,4003,0.081439,1.0,106.3,0,,0,0,6.48e-05
233,4,360,-610.9502,9.41,2.81,3433,0.131229,0.1,113.6,0,,0,0,6.45e-05
