episode,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s
310,223920,-133.0,33.84,0.0,0,0.108173,0.05,14.3
311,224640,-142.0,31.23,0.1,3,0.109317,0.05,14.3
312,225360,-265.0,18.3,6.89,1,0.108624,0.05,15.7
313,226080,-19.0,34.6,0.0,1,0.102058,0.05,11.8
314,226800,-275.0,33.7,0.56,0,0.101548,0.05,15.8
315,227520,-218.0,30.03,1.27,1,0.101321,0.05,15.5
316,228240,-241.0,31.5,1.48,1,0.099737,0.05,15.6
317,228960,-331.0,28.14,0.86,3,0.103042,0.05,15.5
318,229680,-154.0,33.14,0.09,2,0.100937,0.05,14.4
319,230400,-245.0,27.32,1.21,3,0.102253,0.05,15.6
320,231120,-143.0,32.74,0.0,1,0.101984,0.05,14.3
321,231840,-248.0,31.34,0.44,2,0.109698,0.05,15.7
322,232560,-142.0,31.23,0.55,3,0.113433,0.05,14.1
323,233280,-164.0,34.1,0.2,0,0.113161,0.05,14.2
324,234000,-286.0,27.4,1.11,4,0.102641,0.05,15.6
325,234720,-135.0,27.38,0.05,2,0.103159,0.05,14.4
326,235440,-148.0,33.18,0.04,0,0.102583,0.05,14.4
327,236160,-129.0,27.73,0.13,1,0.103108,0.05,14.4
328,236880,-133.0,31.31,0.24,2,0.100903,0.05,14.2
329,237600,-272.0,26.17,0.19,3,0.103716,0.05,15.7
330,238320,-142.0,30.74,0.35,2,0.101922,0.05,14.2
331,239040,-244.0,25.79,2.07,1,0.104,0.05,15.5
332,239760,-188.0,28.76,0.62,2,0.106369,0.05,15.7
333,240480,-257.0,28.54,0.35,3,0.107085,0.05,15.5
334,241200,-267.0,22.38,2.85,4,0.107882,0.05,15.6
335,241920,-138.0,30.17,0.0,0,0.111603,0.05,14.2
336,242640,-169.0,30.57,0.82,1,0.115648,0.05,14.2
337,243360,-241.0,28.21,1.71,4,0.117651,0.05,15.7
338,244080,-253.0,24.36,3.0,3,0.112856,0.05,15.6
339,244800,-264.0,27.23,1.75,2,0.117465,0.05,15.5
340,245520,-239.0,27.71,0.79,2,0.124731,0.05,15.6
341,246240,-246.0,25.37,0.45,2,0.128548,0.05,15.7
342,246960,-226.0,26.42,1.34,1,0.127604,0.05,15.6
343,247680,-150.0,30.77,0.0,1,0.126209,0.05,14.4
344,248400,-217.0,28.62,0.41,2,0.126558,0.05,15.5
345,249120,-248.0,24.13,0.0,3,0.129354,0.05,15.5
346,249840,-230.0,29.84,1.37,4,0.126843,0.05,15.6
347,250560,-145.0,31.92,0.74,0,0.122473,0.05,14.3
348,251280,-292.0,23.07,3.08,2,0.115984,0.05,15.6
349,252000,-274.0,30.32,0.7,0,0.123524,0.05,15.8
350,252720,-141.0,26.57,0.45,0,0.121468,0.05,14.4
351,253440,-125.0,33.57,0.0,1,0.121543,0.05,14.3
352,254160,-122.0,31.57,0.6,0,0.124369,0.05,14.5
353,254880,-220.0,29.41,1.18,1,0.121904,0.05,15.6
354,255600,-246.0,32.23,0.66,1,0.121479,0.05,15.7
355,256320,-146.0,30.41,1.21,1,0.123583,0.05,14.2
356,257040,-13.0,32.18,0.22,0,0.124285,0.05,12.0
357,257760,-235.0,29.99,0.21,2,0.12145,0.05,15.6
358,258480,-261.0,23.39,1.29,0,0.120121,0.05,15.6
359,259200,-173.0,26.49,1.29,2,0.12227,0.05,14.3
360,259920,-244.0,28.25,1.14,0,0.119477,0.05,15.5
361,260640,-213.0,26.17,0.32,3,0.120921,0.05,15.7
362,261360,-255.0,27.87,0.04,3,0.122196,0.05,15.5
363,262080,-267.0,33.02,0.75,3,0.130566,0.05,15.6
364,262800,-257.0,26.51,2.85,1,0.12638,0.05,15.6
365,263520,-255.0,23.22,1.12,3,0.133633,0.05,15.6
366,264240,-156.0,25.29,0.14,1,0.129857,0.05,14.2
367,264960,-278.0,26.91,0.89,1,0.125746,0.05,15.6
368,265680,-236.0,28.8,1.23,1,0.129048,0.05,15.5
369,266400,-19.0,31.3,0.44,0,0.13838,0.05,11.7
370,267120,-255.0,30.67,0.09,4,0.135335,0.05,15.7
371,267840,-220.0,18.77,4.96,3,0.139036,0.05,15.5
372,268560,-300.0,28.21,1.1,2,0.130609,0.05,15.5
373,269280,-132.0,29.59,0.87,0,0.133037,0.05,14.3
374,270000,-154.0,34.71,0.0,0,0.142447,0.05,14.1
375,270720,-278.0,28.46,1.57,5,0.136836,0.05,15.6
376,271440,-219.0,28.66,0.66,1,0.149776,0.05,15.6
377,272160,-230.0,26.98,0.75,4,0.139378,0.05,15.5
378,272880,-135.0,33.07,0.0,2,0.136017,0.05,14.3
379,273600,-265.0,31.6,1.54,3,0.142051,0.05,15.6
380,274320,-287.0,29.14,0.82,2,0.149035,0.05,15.5
381,275040,-272.0,30.17,1.37,1,0.15978,0.05,15.6
382,275760,-144.0,31.94,0.05,0,0.154412,0.05,14.3
383,276480,-258.0,29.99,0.34,0,0.149909,0.05,15.3
384,277200,-232.0,28.77,0.35,2,0.156852,0.05,15.6
385,277920,-15.0,30.12,0.44,0,0.153964,0.05,11.9
386,278640,-267.0,24.41,4.16,1,0.142935,0.05,15.5
387,279360,-10.0,25.33,1.43,2,0.149293,0.05,11.8
388,280080,-272.0,28.49,0.43,1,0.140975,0.05,15.7
389,280800,-235.0,23.16,6.72,2,0.143008,0.05,15.4
390,281520,-166.0,33.37,0.0,0,0.141241,0.05,14.2
391,282240,-21.0,27.9,1.0,2,0.142942,0.05,11.9
392,282960,-223.0,27.47,1.14,1,0.14241,0.05,15.6
393,283680,-139.0,30.82,0.0,2,0.14236,0.05,14.3
394,284400,-163.0,32.55,0.0,1,0.14756,0.05,14.2
395,285120,-155.0,32.58,0.14,0,0.140264,0.05,14.2
396,285840,-265.0,28.56,0.52,2,0.138174,0.05,15.5
397,286560,-157.0,31.7,0.48,0,0.13962,0.05,14.4
398,287280,-150.0,25.41,1.7,1,0.147221,0.05,14.1
399,288000,-143.0,34.05,0.14,1,0.143049,0.05,14.3
400,288720,-137.0,28.06,0.18,1,0.137794,0.05,14.2
401,289440,-246.0,28.62,0.07,2,0.137913,0.05,15.6
402,290160,-155.0,31.51,0.14,0,0.14706,0.05,14.5
403,290880,-177.0,32.97,0.21,0,0.145662,0.05,14.2
404,291600,-227.0,31.17,0.59,1,0.142944,0.05,15.4
405,292320,-149.0,31.1,0.19,0,0.136866,0.05,14.3
406,293040,-326.0,26.07,0.77,1,0.136717,0.05,15.5
407,293760,-147.0,31.81,0.0,5,0.127887,0.05,14.5
408,294480,-267.0,27.72,2.94,3,0.120999,0.05,15.5
409,295200,-148.0,29.94,1.05,3,0.115,0.05,14.2
410,295920,-13.0,28.78,1.0,1,0.109453,0.05,11.8
411,296640,-137.0,28.61,2.23,0,0.109241,0.05,14.2
412,297360,-141.0,32.45,0.0,0,0.111187,0.05,14.2
413,298080,-266.0,29.86,0.27,5,0.113801,0.05,15.5
414,298800,-239.0,17.05,2.48,2,0.112455,0.05,15.5
415,299520,-136.0,29.56,0.1,3,0.108458,0.05,14.6
